sigla_uf,codigo_cbo_4,total_vinculos_ativos
AC,725205,8
AC,225185,2
AC,422115,2
AC,354810,2
AC,721430,1
AC,142120,5
AC,766150,9
AC,212415,2
AC,214345,2
AC,223705,3
AC,142520,2
AC,252705,4
AC,234612,1
AC,111250,2
AC,731160,3
AC,768305,2
AC,773405,1
AC,223645,1
AC,516155,1
AC,372210,2
AC,751120,2
AC,822125,1
AC,322250,1
AC,251210,1
AC,214950,2
AC,141715,1
AC,953110,1
AC,123410,1
AC,751010,1
AC,731155,1
AC,848425,1
AC,791130,1
AL,232115,1272
AL,313105,365
AL,351430,636
AL,21105,182
AL,221205,712
AL,524105,1757
AL,842115,618
AL,317210,869
AL,351415,119
AL,232125,73
AL,421105,631
AL,848505,89
AL,782410,2972
AL,351605,1742
AL,783105,59
AL,515110,730
AL,333110,288
AL,123105,2322
AL,512115,243
AL,632120,130
AL,142305,1860
AL,732120,2472
AL,731325,145
AL,731205,25
AL,711130,48
AL,951105,1010
AL,784115,83
AL,516505,353
AL,519935,888
AL,519210,199
AL,411020,211
AL,992105,120
AL,513610,657
AL,774105,980
AL,513440,217
AL,354810,147
AL,951305,146
AL,254410,499
AL,239430,199
AL,223605,1674
AL,783230,272
AL,991305,257
AL,723320,108
AL,911120,85
AL,391125,309
AL,414205,665
AL,223660,60
AL,724405,50
AL,312105,863
AL,848115,60
AL,732105,521
AL,111220,675
AL,223810,408
AL,203210,92
AL,510105,140
AL,715610,381
AL,232165,159
AL,123110,341
AL,311505,172
AL,324120,46
AL,214915,182
AL,374210,3
AL,731170,18
AL,415210,101
AL,224135,58
AL,782115,141
AL,717010,79
AL,212415,48
AL,523110,183
AL,643020,84
AL,223212,40
AL,261115,10
AL,760310,13
AL,325105,226
AL,225133,88
AL,20115,180
AL,354820,71
AL,423105,61
AL,318110,15
AL,766305,11
AL,848215,10
AL,234415,73
AL,422210,33
AL,513615,254
AL,711310,44
AL,131310,192
AL,910115,48
AL,313505,33
AL,203505,34
AL,622105,7
AL,241010,101
AL,318405,42
AL,763320,45
AL,513210,28
AL,919310,62
AL,510120,49
AL,711320,123
AL,141610,13
AL,214115,23
AL,342545,10
AL,711305,39
AL,122515,6
AL,225320,44
AL,234628,18
AL,420110,27
AL,811130,101
AL,768305,40
AL,262315,1
AL,516215,42
AL,131215,10
AL,516325,62
AL,828105,32
AL,313110,53
AL,225295,3
AL,262615,30
AL,391135,19
AL,716530,3
AL,914110,4
AL,724320,21
AL,376320,9
AL,262135,3
AL,262230,14
AL,223545,75
AL,322505,21
AL,766155,8
AL,225130,47
AL,214525,14
AL,768205,14
AL,622410,12
AL,720150,13
AL,723305,25
AL,991205,36
AL,311515,4
AL,862515,20
AL,142345,14
AL,203105,3
AL,234760,9
AL,632615,14
AL,752105,10
AL,241310,2
AL,241030,5
AL,225270,45
AL,131225,6
AL,731175,16
AL,354410,3
AL,225230,1
AL,512120,11
AL,811310,7
AL,720140,23
AL,424120,9
AL,510305,5
AL,516335,43
AL,731155,15
AL,761430,7
AL,263110,1
AL,316115,16
AL,318705,24
AL,773410,5
AL,725410,17
AL,622320,3
AL,823130,18
AL,234735,7
AL,391225,2
AL,760105,5
AL,241330,8
AL,223435,3
AL,765105,2
AL,623315,2
AL,141820,4
AL,773215,8
AL,252215,5
AL,781105,6
AL,141735,4
AL,833125,2
AL,214330,3
AL,251535,7
AL,613110,3
AL,771115,2
AL,761315,1
AL,751010,4
AL,114305,2
AL,768605,2
AL,242240,1
AL,262130,1
AL,341325,3
AL,223204,5
AL,761327,2
AL,351310,1
AL,773505,2
AL,811205,2
AL,823220,2
AL,325310,1
AL,740110,1
AL,214435,2
AL,612505,1
AL,214220,1
AL,422110,2347
AL,715210,10836
AL,521120,271
AL,513435,6225
AL,239410,1320
AL,141615,307
AL,234730,117
AL,322715,47
AL,514325,6533
AL,333115,604
AL,513315,3251
AL,513425,2265
AL,519110,3116
AL,524215,23
